	α15.2,α46.4,α48.4,α51.5,α51.6,α20.4,α15.2.1,α46.4.1,α48.4.1,α51.5.1,α51.6.1,α20.4.1
bSNP261,0.018209886405241,0.0304845963453556,0.0220477692105325,0.0121228257547911,-0.0062696722040904,0.84977192370528,0.0411107560414711,0.0338480453135386,0.0256957310074602,0.0345735153922975,0.0293294302955668,0.690018511642305
bSNP263,0.0475408074172019,0.0302756845073235,0.0544472568202361,0.0217528908023882,0.0355556214110451,0.0300217253632797,0.0502901071506867,0.0499601168196947,0.0345602474930071,0.0356054619145008,0.0602574969562185,-0.000868323950850458
bSNP276,0.0112894083592541,0.0342989142353805,0.0188368210338498,0.024794256533972,-0.0011362078804897,0.120497398712049,0.0250393859820842,0.0255242415409284,0.0206375704686904,0.0312780158756128,0.0204891321898645,0.131876897354159
bSNP283,0.0196726520727841,0.0232758620272639,0.0031563901590522,0.0155345237049028,-0.012733265369027,0.0216880925649151,0.024677919471056,0.0495066251559821,0.0253767659354817,0.0271894706023573,0.0352928435071931,-0.0262025993530059
bSNP285,0.0184866156916716,0.0368745976177289,0.0216439013692882,0.0275746830234748,0.0051072810774471,0.13319185599261,0.0422654433149177,0.043606465718185,0.0305752002342949,0.0422859542917062,0.038415758017536,0.117882300924815
bSNP290,0.0139823632732146,0.0270351337559829,0.0254188121282827,0.0271593673419422,0.0114831663551978,0.0054863973400685,0.0239274315653136,0.0411761812570331,0.0235859095441408,0.0368597134494531,0.0203822728160245,0.000302777156238165
bSNP294,0.005737689752841,0.0362379074625099,0.0275557939828062,0.0351989437544665,0.0417647971497993,0.0085082243648481,0.0060235138729958,0.0430634361076007,0.0015240181286695,0.0280810397998109,0.0358970845095744,-0.0046730474728455
bSNP296,0.0201534856010541,0.0379058428818261,0.0330606079003541,0.0422932148535705,0.0092239882398247,0.0084191340022033,0.0023925042310884,0.0227268319199798,0.0096181823915992,0.0234058724001463,0.0162875072777879,-0.0035070462847643
bSNP297,0.137322874378675,0.776724399351886,0.896245717187731,0.0582771104457601,0.0463036615269886,-0.0036439991821208,0.138077172669333,0.387732690225587,0.660706239877985,0.0245859404645596,0.0196747120750743,0.0218227690326442
bSNP301,0.0860453606513774,0.0262797433198114,0.106525971914313,0.0257662503307979,0.0686771206687972,0.245014152079818,0.0810346293301891,0.048681242374904,0.0849239574392897,0.0356571347592269,0.0813779035701089,0.163389975315124
bSNP302,0.0881976266661745,0.0261633446483591,0.0973612017153102,0.0391332544629222,0.0870156572602494,-0.0126379976337032,0.0580597495754252,0.0503621304590719,0.057514321232805,0.0406811082378715,0.0625322660721036,-0.012373177197676
bSNP305,0.0039033520167587,0.042603653164514,0.011238610480826,0.018634085200295,-0.0222483279988303,0.0452270029821241,0.0299191983061442,0.0466892875346627,0.016852818305416,0.0391945000387549,0.0144757715180702,-0.0287347022845139
bSNP307,0.0327094579104946,0.143204825293183,0.144169634682241,0.089170924135348,0.0484745860445411,0.0110840398406072,0.0536495382938567,0.132717959750157,0.0882374442702683,0.0973731004641134,0.0684321644529638,-0.000688079881471681
bSNP310,0.166968218183844,0.0590117524653992,0.0652595033829325,0.0476984989463571,0.0440777925351317,0.0354703824463937,0.873220270499487,0.0676617864758014,0.0299665364038074,0.0667066590184024,0.0373769975143208,-0.0330541390504099
bSNP311,0.0729118024333872,0.0350713330739893,0.0240873901251155,0.0419786951644338,0.0160628325254184,0.0116222845087996,0.129474185611032,0.0675481324423983,0.081359881319086,0.0652598284265947,0.0806238745005977,-0.0172215547105094
bSNP313,0.907480562123181,0.397670130887703,0.294307511251594,0.203029088719835,0.134901472399733,0.0066089174753893,0.891904382747449,0.342184984941213,0.260368297812077,0.196989361683736,0.160058815459217,-0.0155434620247412
bSNP317,0.046254625742948,0.0350664081235964,0.0505887128825736,0.0301751107401322,0.0267469320147946,0.0125553286644968,0.0484321782381718,0.0418343572019648,0.0410939550452786,0.0434038547063017,0.0330845581475898,-0.0152278598572861
