adk	gyrB	mdh	recA	purA	fumC	icd	MLST_type
b2527	13	10	17	17	25	52	14	141
b2528	37	19	17	26	11	38	37	95
b2529	13	19	23	10	11	14*	36	127*
b2530		311*					NA	Unknown
b2531	14	10	17	74	7	14	14	404
b2532	36	9	17	25	11	24	13	73
b2533	14	10	17	10	92	14	14	550
b2534	37	19	17	26	11	38	37	95
b2535	37	19	17	26	11	38	37	95
b2594	10	4	8	128	8	11	8	1060
b2595	10	4	8	128	8	11	8	1060
b2596	10	4	8	2	8	11	8	10
b2597	10	4	8	2	8	11	8	10
b2600	10	4	8	128	8	11	8	1060
b3242	13	9	17	25	37	43	37	567
b3243	10	522	8	2	8	11	8	6144
b3244	36	9	17	25	11	24	13	73
b3245	10	4	8	73	13	11	8	617
b3246	37	19	17	26	11	38	37	95
b3247	21	27	5	4	5	35	6	69
b3248	35	29	4	73	5	37	25	405
b3249	6	4	24	14	8	4	16	58
b3250	10	135	8	2	8	11	8	744
b3251	43	15	11	6	7	41	18	101
b3252	21	27	5	4	5	35	6	69
b3253	4	2	5	19	5	26	25	38
b446	88	19	23	26	44	103	36	372
bSNP1274	21	27	5	4	5	35	6	69
bSNP1275	10	1	71	6	8	214	1	1316
bSNP1276	6	1	69	20	8	4	95	399
bSNP1277	6	33	11	6	8	23	18	316
bSNP1278	49	44	11	7	35	4	9	120
bSNP1279	6	95	8	2	8	11	104	4358
bSNP1280	64	1	8	6	8	7	561	5523
bSNP1281	64	5	8	6	8	126	1	5295
bSNP1282	51	132	34	100	42	48	139	5463
bSNP1283	10	4	8	2	8	11	8	10
bSNP1284	175	184	150	130	147	410	206	3568
bSNP1285	4	151	5	19	5	26	25	963
bSNP1286	37	19	17	26	11	38	37	95
bSNP1287	6	57	8	2	8	7	1	540
bSNP1288	6	4	24	104	8	4	16	767
bSNP1289	37	19	17	26	11	38	37	95
bSNP1290	13	9	17	25	37	43	37	567
bSNP1291	10	4	8	2	8	174	8	1286
bSNP1292	9	15	11	6	8	19	18	5478
bSNP1293	6	4	24	14	8	4	16	58
bSNP1294	6	32	9	7	8	19	16	2351
bSNP1295	10	4	8	2	8	11	8	10
bSNP1296	13	9	17	25	11	24	13	104
bSNP1297	6	12	407	7	18	4	10	5320
bSNP1298	27	24	26	22	19	32	29	59
bSNP1299	203	27	40	73	5	26	27	2797
bSNP1300	438	444	405	2	15	656	448	5313
bSNP1301	34	39	67	4	16	36	87	349
bSNP1302	13	10	17	17	25	52	14	141
bSNP1303	10	4	12	2	8	7	8	746
bSNP1304	10	4	8	2	8	11	8	10
