"Bacterial.strain"	"Susceptibility"
"b3669"	"yes"
"b3670"	"yes"
"b3671"	"yes"
"b3672"	"yes"
"b3673"	"yes"
"b3674"	"yes"
"b3675"	"yes"
"b3676"	"yes"
"b3677"	"yes"
"b3678"	"no"
"b3679"	"no"
"b3680"	"yes"
"b3681"	"yes"
"b3682"	"yes"
"b3683"	"yes"
"b3684"	"yes"
"b3685"	"yes"
"b3686"	"yes"
"b3687"	"yes"
"b3688"	"yes"
"b3689"	"yes"
"b3690"	"yes"
"b3691"	"yes"
"b3692"	"no"
"b3693"	"yes"
"b3694"	"yes"
"b3695"	"yes"
"b3696"	"no"
"b3697"	"yes"
"b3698"	"yes"
"b3699"	"yes"
"b3700"	"yes"
"b3701"	"no"
"b3702"	"yes"
"b3703"	"no"
"b3704"	"no"
"b3705"	"yes"
"b3706"	"yes"
"b3707"	"yes"
"b3708"	"no"
"b3709"	"yes"
"b3710"	"yes"
"b3711"	"yes"
"b3712"	"yes"
"b3713"	"yes"
"b3714"	"yes"
"b3715"	"yes"
"b3716"	"yes"
"b3717"	"yes"
"b3718"	"yes"
"b3719"	"yes"
"b3720"	"yes"
"b3721"	"no"
"b3722"	"yes"
"b3723"	"no"
"b3724"	"yes"
"b3725"	"yes"
"b3726"	"yes"
"b3727"	"yes"
"b3728"	"yes"
"b3729"	"yes"
"b3730"	"yes"
"b3731"	"yes"
"b3732"	"yes"
"b3733"	"yes"
"b3734"	"yes"
"b3735"	"yes"
"b3736"	"yes"
"b3737"	"yes"
"b3738"	"no"
"b3739"	"yes"
"b3740"	"yes"
"b3741"	"yes"
"b3742"	"yes"
"b3743"	"yes"
"b3744"	"yes"
"b3745"	"yes"
"b3746"	"yes"
"b3747"	"yes"
"b3748"	"yes"
"b3749"	"yes"
"b3750"	"yes"
"b3751"	"yes"
"b3752"	"yes"
"b3753"	"yes"
"b3754"	"yes"
"b3755"	"yes"
"b3756"	"yes"
"b3757"	"yes"
"b3758"	"yes"
"b3759"	"yes"
"b3760"	"yes"
"b3761"	"no"
"b3762"	"yes"
"b3763"	"yes"
"b3764"	"yes"
"b3765"	"no"
"b3766"	"yes"
"b3767"	"yes"
"b3768"	"yes"
"b3769"	"yes"
"b3770"	"yes"
"b3771"	"yes"
"b3772"	"yes"
"b3773"	"yes"
"b3774"	"no"
"b3775"	"yes"
"b3776"	"yes"
"b3777"	"yes"
"b3778"	"yes"
"b3779"	"yes"
"b3780"	"yes"
"b3781"	"yes"
"b3782"	"yes"
"b3783"	"yes"
"b3784"	"yes"
"b3785"	"yes"
"b3786"	"yes"
"b3787"	"yes"
"b3788"	"yes"
"b3789"	"yes"
"b3790"	"yes"
"b3791"	"yes"
"b3792"	"yes"
"b3793"	"yes"
"b3794"	"yes"
"b3795"	"yes"
"b3796"	"yes"
"b3797"	"yes"
"b3798"	"yes"
"b3799"	"yes"
"b3800"	"yes"
"b3801"	"yes"
"b3802"	"yes"
"b3803"	"yes"
"b3804"	"yes"
"b3805"	"yes"
"b3806"	"yes"
"b3807"	"no"
"b3808"	"yes"
"b3809"	"no"
"b3810"	"yes"
"b3811"	"yes"
"b3812"	"yes"
"b3813"	"yes"
"b3814"	"yes"
"b3815"	"yes"
"b3816"	"yes"
"b3817"	"yes"
"b3818"	"yes"
"b3819"	"yes"
"b3820"	"yes"
"b3821"	"yes"
"b3822"	"yes"
"b3823"	"yes"
"b3824"	"yes"
"b3825"	"yes"
"b3826"	"yes"
"b3827"	"yes"
"b3828"	"yes"
"b3829"	"no"
"b3830"	"yes"
"b3831"	"no"
"b3832"	"yes"
"b3833"	"yes"
"b3834"	"yes"
"b3835"	"yes"
"b3836"	"yes"
"b3837"	"yes"
"b3838"	"yes"
"b3839"	"yes"
