phage	receptor	presence
α86	LPS	Not determined
α76	LPS	Not determined
α87	LPS	Not determined
α12	LPS	Yes
α13	LPS	Yes
α51	LPS	No
α70	LPS	Not determined
α54	LPS	Not determined
α62	LPS	Not determined
α37	LPS	Not determined
α43	LPS	Not determined
α30	LPS	Not determined
α82	LPS	Not determined
α34	LPS	Not determined
α36	LPS	Not determined
α41	LPS	Not determined
α39	LPS	Not determined
α53	LPS	Not determined
α11	LPS	Yes
α14	LPS	Yes
α167	LPS	Not determined
α154	LPS	Yes
α169	LPS	Yes
α170	LPS	Yes
α164	LPS	Not determined
α153	LPS	Yes
α21	LPS	Yes
α157	LPS	Yes
α152	LPS	Yes
α156	LPS	Yes
α46	LPS	No
α48	LPS	No
α31	LPS	No
α33	LPS	No
α177	LPS	Yes
α18	LPS	Yes
α17	LPS	No
α155	LPS	Not determined
α127	LPS	Not determined
α15	LPS	Yes
α166	LPS	Not determined
α59	LPS	Not determined
α63	LPS	Not determined
α16	LPS	No
α150	LPS	Yes
α20	LPS	Yes
α133	LPS	Yes
α142	LPS	Not determined
α140	LPS	Not determined
α138	LPS	Yes
α118	LPS	Not determined
α104	LPS	Not determined
α106	LPS	Not determined
α124	LPS	Not determined
α116	LPS	Not determined
α111	LPS	Not determined
α137	LPS	Not determined
α121	LPS	Not determined
α120	LPS	Not determined
α122	LPS	Not determined
α114	LPS	Yes
α136	LPS	Not determined
α112	LPS	Not determined
α126	LPS	Not determined
α130	LPS	Not determined
α101	LPS	No
α179	LPS	Not determined
α159	LPS	Not determined
α181	LPS	Not determined
α40	LPS	Not determined
α103	LPS	Not determined
α105	LPS	Not determined
α173	LPS	Not determined
α162	LPS	Not determined
α139	LPS	Not determined
α141	LPS	Not determined
α5	LPS	Not determined
α109	LPS	Not determined
α125	LPS	Not determined
α97	LPS	Not determined
α69	LPS	Not determined
α71	LPS	Not determined
α73	LPS	Not determined
α83	LPS	Not determined
α56	LPS	Not determined
α78	LPS	Not determined
α80	LPS	Not determined
α96	LPS	Not determined
α98	LPS	Not determined
α92	LPS	Not determined
α94	LPS	Not determined
α72	LPS	Not determined
α74	LPS	Not determined
α58	LPS	Not determined
α64	LPS	Not determined
α66	LPS	Not determined
α68	LPS	Not determined
α60	LPS	Not determined
α84	LPS	Not determined
α102	LPS	Not determined
α45	LPS	Not determined
α47	LPS	Not determined
α49	LPS	Not determined
α110	LPS	Not determined
α131	LPS	Yes
α132	LPS	Not determined
α117	LPS	Not determined
α134	LPS	Not determined
α113	LPS	Not determined
α119	LPS	Not determined
α165	LPS	Yes
α128	LPS	Not determined
α135	LPS	Not determined
α55	LPS	Not determined
α44	LPS	Not determined
α52	LPS	Not determined
α151	LPS	No
α115	LPS	Not determined
α129	LPS	Not determined
α42	LPS	Not determined
α61	LPS	Not determined
α35	LPS	Not determined
α57	LPS	Not determined
α108	LPS	Not determined
α107	LPS	Not determined
α123	LPS	Not determined
α38	LPS	Not determined
α171	LPS	No
α175	LPS	No
α8	LPS	Yes
α158	LPS	Not determined
α88	LPS	Not determined
α90	LPS	Not determined
α32	LPS	Not determined
α50	LPS	Not determined
α79	LPS	Not determined
α89	LPS	Not determined
α77	LPS	Not determined
α81	LPS	Not determined
α99	LPS	Not determined
α100	LPS	Not determined
α184	LPS	No
α19	LPS	Yes
α174	LPS	Yes
α95	LPS	Not determined
α91	LPS	Not determined
α93	LPS	Not determined
